S1,ST,S1_conf,ST_conf,names,Response,Method,ST-S1,Year
0.00019043695006474328,0.003203504718230832,0.03298402826121417,0.05514438120916161,[Maize].Phenology.MaturityToHarvestRipe.Target.FixedValue,TopN2O,fast,0.0030130677681660884,2003
0.25620173380021416,0.5055047086509719,0.03177602863616818,0.05891382257654763,[Maize].Phenology.Juvenile.Target.FixedValue,soc0_10cm,fast,0.2493029748507577,2003
0.04873948181535334,0.06762584463439947,0.04042442922258663,0.06692024969358587,[Maize].Phenology.FlagLeafToFlowering.Target.FixedValue,soc0_10cm,fast,0.018886362819046126,2003
0.013384401506751114,0.031112164491268413,0.03742572160265939,0.0708811668942078,[Maize].Phenology.FloweringToGrainFilling.Target.FixedValue,soc0_10cm,fast,0.0177277629845173,2003
0.01909881618146284,0.06082584326252205,0.036039202644575836,0.062002054323740674,[Maize].Phenology.GrainFilling.Target.FixedValue,soc0_10cm,fast,0.041727027081059215,2003
0.006941603132196955,0.011879203069403377,0.03691279164100332,0.06291371188469395,[Maize].Cob.DMDemands.Structural.DMDemandFunction.MaximumOrganWt.FixedValue,soc0_10cm,fast,0.004937599937206422,2003
0.20311859161141066,0.24199699333956437,0.03374293470600397,0.051063710372127494,[Maize].Grain.MaximumGrainsPerCob.FixedValue,soc0_10cm,fast,0.03887840172815371,2003
1.679932422022807e-05,0.0023928399386409227,0.030773920751523867,0.06288170522093334,[Maize].Root.SpecificRootLength.FixedValue,soc0_10cm,fast,0.0023760406144206947,2003
1.5224791912797945e-05,0.0022854876102889055,0.034121246506205995,0.05672634457925954,[Maize].Phenology.Maturing.Target.FixedValue,soc0_10cm,fast,0.0022702628183761077,2003
0.022072174245830446,0.15257089551718572,0.033481795999055215,0.06008157417382499,[Maize].Leaf.Photosynthesis.RUE.FixedValue,soc0_10cm,fast,0.13049872127135528,2003
0.1637860408382245,0.1944934640265774,0.03523426131100036,0.06321798303184181,[Maize].Grain.MaximumPotentialGrainSize.FixedValue,soc0_10cm,fast,0.0307074231883529,2003
0.000606785797208004,0.006223324542666386,0.03356220481837163,0.07021176067382985,[Maize].Grain.MaximumNConc.InitialPhase.InitialNconc.FixedValue,soc0_10cm,fast,0.0056165387454583824,2003
3.224205788331808e-05,0.0036779600264400525,0.034199717890182786,0.06202462751706575,[Maize].Phenology.MaturityToHarvestRipe.Target.FixedValue,soc0_10cm,fast,0.0036457179685567345,2003
0.06734081098414348,0.648273580312845,0.032156834942968504,0.062480550269389264,[Maize].Phenology.Juvenile.Target.FixedValue,Top_respiration,fast,0.5809327693287015,2003
0.003651788889553429,0.00465967568791259,0.03416640488733669,0.05193635794980391,[Maize].Phenology.FlagLeafToFlowering.Target.FixedValue,Top_respiration,fast,0.0010078867983591608,2003
